id|instlPlceNm|instlPlceDtil|svcProvdCmpnyNm|wifiSsid|instlYm|lnmAdrs|rnAdrs|admdCd|admdNm|lgdngCd|lgdngNm|mngmtInsttNm|telno|la|lo|dataStdrDe
112|은하수네거리_32070)|전광판 상부|KT|Public_WiFi_Free|2021년 12월||대전광역시 서구 둔산2동|null|null|null|null|대전광역시|042-270-3309|36.350506|127.378277|2023-03-27
124|용문역8번출구_30980)|정류장쉘터|KT|Public_WiFi_Free|2021년 12월||대전광역시 서구 용문역8번출구 30980)|null|null|null|null|대전광역시|042-270-3309|36.337529|127.394224|2023-03-27
152|여성가족원_1|옥내1|KT|DJ_Public_WiFi|2022년 10월||대전광역시 서구 배재로181번길|null|null|null|null|대전광역시|042-270-3301|36.368691|126.528785|2023-03-27
153|여성가족원_2|옥내1|KT|DJ_Public_WiFi|2022년 10월||대전광역시 서구 배재로181번길|null|null|null|null|대전광역시|042-270-3301|36.369942|126.514533|2023-03-27
154|여성가족원_3|옥내1|KT|DJ_Public_WiFi|2022년 10월||대전광역시 서구 배재로181번길|null|null|null|null|대전광역시|042-270-3301|36.369641|126.500281|2023-03-27
16|시애틀공원|중앙정자쪽 cctv|KT|DJ_Public_WiFi|2021년 11월||대전광역시광역시 서구 둔산동 1385|null|null|null|null|대전광역시|042-270-3301|36.355181|127.394641|2023-03-27
17|시애틀공원|중앙정자쪽 cctv|KT|DJ_Public_WiFi|2021년 11월||대전광역시광역시 서구 둔산동 1385|null|null|null|null|대전광역시|042-270-3301|36.355117|127.394744|2023-03-27
265|보라매공원|7_타슈 CCTV|KT|DJ_Public_WiFi|2021년 9월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.350874|127.384867|2023-03-27
266|보라매공원|6_타슈 CCTV|KT|DJ_Public_WiFi|2021년 9월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.351325|127.385282|2023-03-27
267|보라매공원|5_공원중앙 가로등3|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.353538|127.387001|2023-03-27
268|보라매공원|4_공원중앙 가로등2|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.353696|127.386214|2023-03-27
269|보라매공원|3_공원중앙 가로등1|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.353704|127.384892|2023-03-27
270|보라매공원|2_공원 휴계 구조물2|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.354421|127.385062|2023-03-27
271|보라매공원|1_공원 휴계 구조물1|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청북쪽)|null|null|null|null|대전광역시|042-270-3301|36.354405|127.384907|2023-03-27
22|용문종합사회복지관|옥내1|KT|DJ_Public_WiFi|2022년 10월||대전광역시 서구 계룡로 626번길 1|null|null|null|null|대전광역시|042-270-3301|36.370911|127.355401|2023-03-27
24|둔산종합사회복지관|옥내1|KT|DJ_Public_WiFi|2022년 10월||대전광역시 서구 둔사로 241|null|null|null|null|대전광역시|042-270-3301|36.387187|127.326897|2023-03-27
343|둥지아파트정문32560)|전광판 상부|KT|Public_WiFi_Free|2021년 12월||대전광역시 서구 둔산2동|null|null|null|null|대전광역시|042-270-3309|36.359974|127.392797|2023-03-27
372|만년뜰작은도서관|도서관천장|KT|Public_WiFi_Free|2021년 12월||대전광역시 서구 만녀로 17|null|null|null|null|대전광역시|042-270-3309|36.367613|127.374832|2023-03-27
452|시청인근|5_시청 남쪽 지붕 위|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청남쪽|null|null|null|null|대전광역시|042-270-3301|36.346777|127.3848|2023-03-27
453|시청인근|4_시청 남쪽 통로 입구 지붕 밑|KT|DJ_Public_WiFi|2021년 10월||대전광역시 서구 보라매공원시청남쪽|null|null|null|null|대전광역시|042-270-3301|36.346777|127.3848|2023-03-27
463|용문역_7번_출구30990)|정류장쉘터|KT|Public_WiFi_Free|2021년 12월||대전광역시 서구 용문역 7번 출구30990)|null|null|null|null|대전광역시|042-270-3309|36.339713|127.395002|2023-03-27
468|대아아파트30420)|정류장쉘터|KT|Public_WiFi_Free|2021년 12월||대전광역시 도마동 484-38|null|null|null|null|대전광역시|042-270-3309|36.325534|127.370457|2023-03-27
67|삼천중학교_32630)|전광판 상부|KT|Public_WiFi_Free|2021년 12월||대전광역시 서구 둔산2동|null|null|null|null|대전광역시|042-270-3309|36.359015|127.395438|2023-03-27
156|가수원제4경로당(새말)|옥내1|KT|DJ_Public_WiFi|2022년 10월|대전광역시 서구 가수원동 547-52번지|대전광역시 서구 벌곡로1328번안길 124-33|null|null|null|null|대전광역시|042-270-3301|36.367015|126.471777|2023-03-27
467|동방고등학교33010)|BIS안|KT|Public_WiFi_Free|2021년 12월|대전광역시 서구 가수원동 670번지|대전광역시 서구 가수원동 670|null|null|null|null|대전광역시|042-270-3309|36.303631|127.347001|2023-03-27
129|중앙경로당|옥내1|KT|DJ_Public_WiFi|2022년 10월|대전광역시 서구 가수원동 769-1번지|대전광역시 서구 벌곡로1379번길 33|null|null|null|null|대전광역시|042-270-3301|36.3701|126.457525|2023-03-27
